"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.12.2021","16.320,08","16.411,26","16.464,62","16.317,26","144,78M","-0,66%"
"30.12.2021","16.429,10","16.485,40","16.569,62","16.415,12","125,58M","-0,38%"
"29.12.2021","16.491,01","16.510,63","16.548,92","16.396,16","133,19M","0,01%"
"28.12.2021","16.488,66","16.602,92","16.607,19","16.458,49","136,37M","-0,48%"
"27.12.2021","16.567,50","16.361,07","16.567,64","16.361,07","154,76M","1,59%"
"23.12.2021","16.308,21","16.203,76","16.360,75","16.188,02","164,32M","0,79%"
"22.12.2021","16.180,14","15.963,54","16.186,25","15.947,56","166,35M","1,21%"
"21.12.2021","15.986,28","15.794,38","15.997,61","15.617,48","210,02M","2,29%"
"20.12.2021","15.627,64","15.566,83","15.662,61","15.508,74","212,52M","-1,10%"
"17.12.2021","15.801,46","15.714,54","15.960,25","15.664,10","606,09M","-0,39%"
"16.12.2021","15.863,94","16.335,03","16.340,53","15.802,64","267,11M","-2,61%"
"15.12.2021","16.289,59","15.908,45","16.301,27","15.746,94","249,17M","2,35%"
"14.12.2021","15.914,90","15.877,65","15.995,21","15.742,80","238,21M","-1,04%"
"13.12.2021","16.082,55","16.317,90","16.332,63","16.075,54","224,94M","-1,53%"
"10.12.2021","16.331,98","16.278,30","16.339,12","16.139,00","206,17M","1,13%"
"09.12.2021","16.149,57","16.337,81","16.413,28","16.141,39","189,74M","-1,49%"
"08.12.2021","16.394,34","16.313,88","16.401,10","16.250,39","208,05M","0,42%"
"07.12.2021","16.325,66","16.139,56","16.343,67","16.128,44","261,97M","3,03%"
"06.12.2021","15.846,16","15.744,91","15.898,59","15.557,78","244,53M","0,85%"
"03.12.2021","15.712,04","16.039,41","16.089,61","15.543,31","287,69M","-1,74%"
"02.12.2021","15.990,76","15.791,30","16.066,32","15.770,92","252,10M","0,71%"
"01.12.2021","15.877,72","16.347,96","16.427,19","15.864,00","253,55M","-1,60%"
"30.11.2021","16.135,92","16.333,95","16.454,56","16.073,76","412,49M","-1,61%"
"29.11.2021","16.399,24","16.263,43","16.437,16","16.214,56","222,80M","2,33%"
"26.11.2021","16.025,58","16.237,42","16.302,58","15.988,95","188,04M","-2,09%"
"24.11.2021","16.367,81","16.202,26","16.370,56","16.106,02","173,02M","0,37%"
"23.11.2021","16.306,72","16.330,18","16.417,50","16.121,69","213,56M","-0,45%"
"22.11.2021","16.380,98","16.644,77","16.764,85","16.374,78","240,38M","-1,16%"
"19.11.2021","16.573,34","16.558,56","16.625,86","16.523,83","230,31M","0,55%"
"18.11.2021","16.482,97","16.398,76","16.501,92","16.309,51","225,12M","1,07%"
"17.11.2021","16.308,07","16.329,07","16.398,95","16.276,77","184,41M","-0,01%"
"16.11.2021","16.309,77","16.170,29","16.329,50","16.156,69","181,24M","0,75%"
"15.11.2021","16.189,11","16.227,01","16.256,73","16.096,37","164,95M","-0,07%"
"12.11.2021","16.199,89","16.078,13","16.218,55","16.012,78","154,83M","1,04%"
"11.11.2021","16.032,47","16.114,05","16.116,25","16.019,39","144,38M","0,29%"
"10.11.2021","15.985,57","16.087,01","16.224,51","15.905,28","192,32M","-1,44%"
"09.11.2021","16.219,93","16.389,99","16.401,89","16.168,63","202,59M","-0,71%"
"08.11.2021","16.336,03","16.351,49","16.401,93","16.314,00","194,10M","-0,14%"
"05.11.2021","16.359,38","16.397,59","16.454,48","16.302,06","223,01M","0,08%"
"04.11.2021","16.346,24","16.193,22","16.387,95","16.169,56","226,44M","1,25%"
"03.11.2021","16.144,50","16.000,60","16.157,60","15.950,59","177,49M","1,08%"
"02.11.2021","15.972,49","15.885,34","15.988,33","15.877,27","175,57M","0,42%"
"01.11.2021","15.905,28","15.879,61","15.910,35","15.785,31","177,72M","0,35%"
"29.10.2021","15.850,47","15.638,74","15.856,90","15.638,74","210,86M","0,46%"
"28.10.2021","15.778,16","15.674,39","15.784,00","15.650,01","186,65M","1,15%"
"27.10.2021","15.598,39","15.603,16","15.729,75","15.578,68","197,76M","0,25%"
"26.10.2021","15.559,49","15.615,36","15.710,79","15.518,59","196,06M","0,29%"
"25.10.2021","15.514,19","15.417,25","15.555,65","15.338,49","172,55M","1,04%"
"22.10.2021","15.355,07","15.422,07","15.474,28","15.291,95","174,01M","-0,87%"
"21.10.2021","15.489,59","15.365,81","15.497,58","15.350,50","155,34M","0,66%"
"20.10.2021","15.388,71","15.448,00","15.457,11","15.333,43","139,67M","-0,14%"
"19.10.2021","15.410,72","15.349,45","15.414,97","15.320,62","140,10M","0,72%"
"18.10.2021","15.300,89","15.091,58","15.307,51","15.074,71","157,54M","1,02%"
"15.10.2021","15.146,92","15.106,97","15.150,14","15.064,59","201,85M","0,63%"
"14.10.2021","15.052,42","14.925,58","15.059,89","14.901,59","171,55M","1,88%"
"13.10.2021","14.774,60","14.751,80","14.800,83","14.676,58","162,40M","0,77%"
"12.10.2021","14.662,11","14.772,29","14.784,78","14.636,33","175,53M","-0,35%"
"11.10.2021","14.713,73","14.765,69","14.907,57","14.709,05","131,29M","-0,72%"
"08.10.2021","14.820,75","14.942,35","14.948,35","14.805,50","142,85M","-0,51%"
"07.10.2021","14.897,13","14.899,07","15.010,32","14.878,22","168,65M","0,88%"
"06.10.2021","14.766,75","14.529,89","14.775,64","14.499,48","174,39M","0,63%"
"05.10.2021","14.674,15","14.533,43","14.763,64","14.520,23","177,49M","1,40%"
"04.10.2021","14.472,12","14.713,60","14.727,60","14.384,93","223,38M","-2,16%"
"01.10.2021","14.791,87","14.731,38","14.830,84","14.555,12","192,23M","0,70%"
"30.09.2021","14.689,62","14.830,30","14.888,22","14.684,55","203,20M","-0,43%"
"29.09.2021","14.752,89","14.835,51","14.914,92","14.727,41","182,14M","-0,12%"
"28.09.2021","14.770,30","15.001,98","15.040,57","14.758,98","241,47M","-2,86%"
"27.09.2021","15.204,83","15.205,23","15.240,58","15.106,45","154,50M","-0,81%"
"24.09.2021","15.329,68","15.222,97","15.345,54","15.209,16","129,34M","0,09%"
"23.09.2021","15.316,58","15.231,19","15.356,92","15.199,43","144,60M","0,92%"
"22.09.2021","15.176,51","15.073,95","15.230,34","15.029,90","171,16M","0,99%"
"21.09.2021","15.027,77","15.096,98","15.139,90","14.986,98","153,29M","0,10%"
"20.09.2021","15.012,18","15.068,65","15.157,26","14.821,03","229,84M","-2,10%"
"17.09.2021","15.333,47","15.481,43","15.485,21","15.291,04","453,63M","-1,18%"
"16.09.2021","15.515,91","15.452,67","15.539,14","15.370,88","157,64M","0,08%"
"15.09.2021","15.503,53","15.419,95","15.518,95","15.316,40","193,25M","0,78%"
"14.09.2021","15.382,90","15.505,78","15.525,97","15.352,06","171,39M","-0,33%"
"13.09.2021","15.434,50","15.545,66","15.562,28","15.351,70","174,43M","-0,04%"
"10.09.2021","15.440,75","15.648,05","15.673,50","15.433,43","172,65M","-0,77%"
"09.09.2021","15.561,05","15.639,44","15.675,46","15.556,74","140,37M","-0,38%"
"08.09.2021","15.620,85","15.669,01","15.669,01","15.528,45","151,55M","-0,35%"
"07.09.2021","15.675,76","15.662,30","15.701,40","15.610,23","162,99M","0,15%"
"03.09.2021","15.652,86","15.578,96","15.668,12","15.554,97","129,04M","0,31%"
"02.09.2021","15.604,25","15.656,28","15.681,75","15.554,29","142,46M","-0,05%"
"01.09.2021","15.611,57","15.637,13","15.696,42","15.603,67","157,20M","0,19%"
"31.08.2021","15.582,51","15.601,34","15.604,45","15.522,78","224,25M","-0,14%"
"30.08.2021","15.605,09","15.460,93","15.620,62","15.459,74","144,22M","1,12%"
"27.08.2021","15.432,95","15.305,75","15.447,03","15.292,74","153,36M","1,01%"
"26.08.2021","15.278,52","15.348,98","15.369,28","15.265,23","136,20M","-0,59%"
"25.08.2021","15.368,92","15.384,83","15.404,36","15.341,92","174,49M","0,07%"
"24.08.2021","15.357,68","15.338,92","15.384,42","15.319,55","147,83M","0,29%"
"23.08.2021","15.312,82","15.140,14","15.341,47","15.140,14","164,19M","1,46%"
"20.08.2021","15.092,57","14.974,06","15.103,94","14.968,87","176,44M","1,06%"
"19.08.2021","14.933,93","14.773,19","15.000,19","14.773,19","186,79M","0,51%"
"18.08.2021","14.857,92","14.975,02","15.039,90","14.846,51","152,36M","-0,97%"
"17.08.2021","15.002,83","15.018,94","15.062,70","14.906,22","159,61M","-0,91%"
"16.08.2021","15.140,77","15.090,05","15.142,03","14.931,15","157,03M","0,03%"
"13.08.2021","15.136,68","15.101,84","15.150,48","15.079,30","126,45M","0,32%"
"12.08.2021","15.088,98","15.012,60","15.097,91","14.956,25","150,50M","0,41%"
"11.08.2021","15.027,76","15.101,82","15.127,78","14.972,60","152,59M","-0,17%"
"10.08.2021","15.053,58","15.157,37","15.169,45","15.010,16","150,54M","-0,53%"
"09.08.2021","15.133,11","15.136,14","15.154,68","15.081,75","138,30M","0,16%"
"06.08.2021","15.109,36","15.125,74","15.162,34","15.063,02","153,25M","-0,48%"
"05.08.2021","15.181,64","15.105,40","15.184,27","15.083,83","152,62M","0,65%"
"04.08.2021","15.083,39","15.059,17","15.117,38","15.017,14","193,18M","0,15%"
"03.08.2021","15.061,42","14.997,20","15.063,66","14.864,53","166,87M","0,65%"
"02.08.2021","14.963,62","15.046,10","15.059,89","14.945,13","157,33M","0,02%"
"30.07.2021","14.959,90","14.882,39","14.990,86","14.882,39","189,00M","-0,59%"
"29.07.2021","15.048,36","15.015,30","15.091,96","15.004,42","177,41M","0,20%"
"28.07.2021","15.018,10","15.005,17","15.078,85","14.913,55","202,00M","0,41%"
"27.07.2021","14.956,97","15.103,01","15.107,74","14.787,80","220,40M","-1,12%"
"26.07.2021","15.125,95","15.088,28","15.142,35","15.048,23","168,93M","0,09%"
"23.07.2021","15.111,79","15.004,43","15.125,84","14.948,04","165,31M","1,15%"
"22.07.2021","14.940,17","14.865,47","14.941,38","14.865,47","138,61M","0,66%"
"21.07.2021","14.842,63","14.723,67","14.843,17","14.710,11","156,24M","0,78%"
